songname,artistname,year,decade,position,win,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
Asia Minor,Kokomo,1961,60,44,0,0.164,0.378,0.65,0.00624,0.306,-8.766,0.0332,203.532,0.929
Hello Walls,Faron Young,1961,60,45,0,0.722,0.62,0.406,0.00000673,0.114,-10.421,0.0281,101.489,0.695
Runaround Sue,Dion,1961,60,46,0,0.451,0.364,0.607,0,0.251,-9.791,0.125,79.987,0.598
Yellow Bird,Arthur Lyman,1961,60,47,0,0.951,0.572,0.0774,0.893,0.115,-26.113,0.0484,120.311,0.807
Hurt,Timi Yuro,1961,60,48,0,0.707,0.493,0.244,0.000462,0.121,-11.487,0.0277,87.044,0.222
Hello Mary Lou,Ricky Nelson,1961,60,49,0,0.502,0.602,0.633,0,0.0614,-9.756,0.0314,98.995,0.931
There's a Moon Out Tonight,The Capris,1961,60,50,0,0.867,0.508,0.488,0,0.272,-9.486,0.0336,100.444,0.6
Surrender,Elvis Presley,1961,60,51,0,0.758,0.454,0.666,0.0000289,0.275,-8.193,0.0379,82.61,0.894
I Love How You Love Me,The Paris Sisters,1961,60,52,0,0.933,0.226,0.45,0.00145,0.22,-8.893,0.0343,167.689,0.438
Ya Ya,Lee Dorsey,1961,60,53,0,0.607,0.758,0.557,0.000218,0.193,-10.106,0.0453,140.795,0.887
School Is Out,Gary U.S. Bonds,1961,60,54,0,0.868,0.464,0.778,0.0000368,0.434,-11.338,0.185,149.199,0.812
Mexico,Bob Moore,1961,60,55,0,0.185,0.57,0.822,0.913,0.159,-5.66,0.0254,86.536,0.978
You Don't Know What You've Got (Until You Lose It),Ral Donner,1961,60,56,0,0.749,0.67,0.315,0,0.34,-14.201,0.0446,130.881,0.616
Walk Right Back,The Everly Brothers,1961,60,57,0,0.749,0.625,0.358,0,0.0593,-13.199,0.0342,135.797,0.871
The Way You Look Tonight,The Lettermen,1961,60,58,0,0.865,0.243,0.399,0.0000379,0.136,-8.886,0.0285,81.438,0.129
Moody River,Pat Boone,1961,60,59,0,0.774,0.767,0.269,0,0.0875,-14.983,0.0333,129.921,0.534
One Mint Julep,Ray Charles,1961,60,60,0,0.647,0.794,0.536,0.731,0.0535,-9.519,0.28,129.281,0.898
Take Good Care of Her,Adam Wade,1961,60,61,0,0.676,0.539,0.212,0.000549,0.157,-12.984,0.0295,112.023,0.37
Gee Whiz (Look at His Eyes),Carla Thomas,1961,60,62,0,0.582,0.228,0.358,0.00000284,0.129,-7.161,0.0306,179.652,0.324
Stand by Me,Ben E. King,1961,60,63,0,0.57,0.65,0.306,0.00000707,0.0707,-9.443,0.0393,118.068,0.605
Spanish Harlem,Ben E. King,1961,60,64,0,0.32,0.608,0.594,0.0000475,0.129,-11.86,0.0435,125.166,0.789
It's Gonna Work Out Fine,Ike and Tina Turner,1961,60,65,0,0.745,0.69,0.69,0.00000634,0.116,-7.465,0.103,108.037,0.936
Baby Blue,The Echoes,1961,60,66,0,0.779,0.5,0.373,0,0.0667,-13.548,0.0275,132.368,0.727
Baby Sittin' Boogie,Buzz Clifford,1961,60,67,0,0.963,0.549,0.457,0.0000118,0.209,-11.628,0.0711,139.909,0.923
Hats Off to Larry,Del Shannon,1961,60,68,0,0.664,0.44,0.719,0.00000329,0.322,-4.469,0.0348,79.99,0.635
Those Oldies but Goodies,Little Caesar & the Romans,1961,60,69,0,0.979,0.475,0.257,0.00000368,0.547,-16.965,0.0305,96.761,0.508
The Fly,Chubby Checker,1961,60,70,0,0.00494,0.456,0.968,0.00705,0.204,-4.916,0.0448,159.746,0.962
(Marie's the Name) His Latest Flame,Elvis Presley,1961,60,71,0,0.565,0.661,0.917,0.00202,0.134,-6.329,0.0375,105.289,0.893
Wonderland by Night,Bert Kaempfert,1961,60,72,0,0.905,0.368,0.27,0.863,0.234,-8.344,0.0272,70.391,0.232
Bless You,Tony Orlando,1961,60,73,0,0.366,0.488,0.473,0,0.117,-12.155,0.0473,124.398,0.626
I've Told Every Little Star,Linda Scott,1961,60,74,0,0.493,0.633,0.709,0.0141,0.0991,-8.594,0.0261,119.933,0.922
One Track Mind,Bobby Lewis,1961,60,75,0,0.589,0.606,0.564,0,0.27,-7.237,0.0303,145.083,0.971
